"Feature Name"|"ID"|"Class"|"County"|"State"|"Latitude"|"Longitude"|"Ele(ft)"|"Map"|"BGN Date"|"Entry Date"|
"A-Z Shopping Center"|"603538"|"Locale"|"Berkshire"|"MA"|"422755N"|"0731254W"|"1037"|"Pittsfield East"|""|"27-AUG-2002"
"Abbey Hill"|"607260"|"Summit"|"Berkshire"|"MA"|"420822N"|"0730930W"|"1798"|"Monterey"|""|"24-FEB-1974"
"Abbey Lake"|"617758"|"Reservoir"|"Berkshire"|"MA"|"420818N"|"0730908W"|"1463"|"Monterey"|""|"24-FEB-1974"
"Abbey Lake Dam"|"604930"|"Dam"|"Berkshire"|"MA"|"420806N"|"0730910W"|"1486"|"Monterey"|""|"27-AUG-2002"
"Abbey Swamp"|"607261"|"Swamp"|"Berkshire"|"MA"|"420822N"|"0730930W"|"1798"|"Monterey"|""|"24-FEB-1974"
"Abbott Memorial School"|"598712"|"School"|"Berkshire"|"MA"|"424032N"|"0730213W"|"1696"|"North Adams"|""|"27-AUG-2002"
"Abby Lodge School"|"598673"|"School"|"Berkshire"|"MA"|"422440N"|"0731503W"|"1076"|"Pittsfield West"|""|"27-AUG-2002"
"Adams"|"607533"|"Populated Place"|"Berkshire"|"MA"|"423727N"|"0730703W"|"781"|"Windsor"|""|"24-FEB-1974"
"Adams Ambulance Service"|"2659040"|"Building"|"Berkshire"|"MA"|"423807N"|"0730647W"|"755"|"North Adams"|""|"17-JAN-2011"
"Adams Census Designated Place"|"2377977"|"Census"|"Berkshire"|"MA"|"423740N"|"0730707W"|"823"|"North Adams"|""|"11-FEB-2008"
"Adams Community Center"|"1978606"|"Building"|"Berkshire"|"MA"|"423711N"|"0730654W"|"850"|"Windsor"|""|"16-JAN-2003"
"Adams Fire Department Alert Hose Company"|"2659378"|"Building"|"Berkshire"|"MA"|"423728N"|"0730709W"|"797"|"Windsor"|""|"17-JAN-2011"
"Adams Forest Wardens"|"2659728"|"Building"|"Berkshire"|"MA"|"423759N"|"0730639W"|"758"|"North Adams"|""|"17-JAN-2011"
"Adams Junction"|"607262"|"Populated Place"|"Berkshire"|"MA"|"422730N"|"0731228W"|"994"|"Pittsfield East"|""|"24-FEB-1974"
"Adams Junior High School"|"598715"|"School"|"Berkshire"|"MA"|"423740N"|"0730703W"|"801"|"North Adams"|""|"27-AUG-2002"
"Adams Memorial Theatre"|"1978607"|"Building"|"Berkshire"|"MA"|"424249N"|"0731226W"|"702"|"Williamstown"|""|"16-JAN-2003"
"Adams Middle School"|"1978608"|"School"|"Berkshire"|"MA"|"423738N"|"0730705W"|"801"|"North Adams"|""|"16-JAN-2003"
"Adams Nursing HOme"|"1978609"|"Building"|"Berkshire"|"MA"|"424204N"|"0731100W"|"636"|"Williamstown"|""|"16-JAN-2003"
"Adams Police Department"|"2754822"|"Building"|"Berkshire"|"MA"|"423722N"|"0730710W"|"794"|"Windsor"|""|"27-JUN-2014"
"Adams Post Office"|"1978610"|"Post Office"|"Berkshire"|"MA"|"423712N"|"0730714W"|"801"|"Windsor"|""|"16-JAN-2003"
"Adams Townhall"|"604008"|"Building"|"Berkshire"|"MA"|"423724N"|"0730712W"|"804"|"Windsor"|""|"27-AUG-2002"
"Advance Materials Corp Heliport"|"619147"|"Airport"|"Berkshire"|"MA"|"422719N"|"0731206W"|"1014"|"Pittsfield East"|""|"01-AUG-1994"
"Advent Cemetery"|"598726"|"Cemetery"|"Berkshire"|"MA"|"424234N"|"0730715W"|"1093"|"North Adams"|""|"27-AUG-2002"
"Agawam Brook"|"607263"|"Stream"|"Berkshire"|"MA"|"421628N"|"0731906W"|"817"|"Stockbridge"|""|"24-FEB-1974"
"Agawam Lake"|"607264"|"Lake"|"Berkshire"|"MA"|"421536N"|"0731959W"|"823"|"Stockbridge"|""|"24-FEB-1974"
"Air Hill Farms Landing Strip (historical)"|"606505"|"Airport"|"Berkshire"|"MA"|"423543N"|"0730635W"|"1263"|"Windsor"|""|"01-MAR-1990"
"Alandar Post Office (historical)"|"1974977"|"Post Office"|"Berkshire"|"MA"|"Unknown"|"Unknown"|""|"Pittsfield East"|""|"15-JAN-2003"
"Alander"|"607265"|"Populated Place"|"Berkshire"|"MA"|"420322N"|"0732758W"|"1827"|"Bash Bish Falls"|""|"24-FEB-1974"
"Alander Mountain"|"607266"|"Summit"|"Berkshire"|"MA"|"420515N"|"0733018W"|"2224"|"Copake"|""|"24-FEB-1974"
"Alander Post Office (historical)"|"618850"|"Post Office"|"Berkshire"|"MA"|"420510N"|"0732743W"|"1650"|"Bash Bish Falls"|""|"27-AUG-2002"
"Albert Schweitzer Center"|"606006"|"Building"|"Berkshire"|"MA"|"421206N"|"0732324W"|"732"|"Egremont"|""|"27-AUG-2002"
"Alder Meadow Brook"|"607847"|"Stream"|"Berkshire"|"MA"|"422840N"|"0725908W"|"1381"|"Worthington"|""|"24-FEB-1974"
"Alford"|"607267"|"Populated Place"|"Berkshire"|"MA"|"421408N"|"0732448W"|"863"|"Egremont"|"01-JAN-1961"|"24-FEB-1974"
"Alford Brook"|"607268"|"Stream"|"Berkshire"|"MA"|"421403N"|"0732441W"|"810"|"Egremont"|"01-JAN-1961"|"24-FEB-1974"
"Alford Fire Department"|"2659380"|"Building"|"Berkshire"|"MA"|"421335N"|"0732522W"|"1004"|"Egremont"|""|"17-JAN-2011"
